S.No,Date,Time,Months,Sample,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Traffic
43,,,5,3,2.352,2.505,6.1,5.2,93.9,2.716,2.560,#REF!,#REF!,#REF!,6.5,2.3,2.9,131189
44,,,5,4,2.306,2.505,7.9,5.2,92.1,2.716,2.560,#REF!,#REF!,#REF!,8.6,2.3,2.9,131189
45,,,5,5,2.378,2.505,5.1,4.4,94.9,2.679,2.560,#REF!,#REF!,#REF!,5.3,1.8,2.6,131189
46,,,5,6,2.393,2.505,4.5,4.4,95.5,2.679,2.560,#REF!,#REF!,#REF!,4.7,1.8,2.6,131189
47,,,5,7,2.381,2.505,5.0,4.9,95,2.702,2.560,#REF!,#REF!,#REF!,5.2,2.1,2.8,131189
48,,,5,8,2.38,2.505,5.0,4.9,95,2.702,2.560,#REF!,#REF!,#REF!,5.3,2.1,2.8,131189
49,,,5,9,2.35,2.505,6.2,5.5,93.8,2.730,2.560,#REF!,#REF!,#REF!,6.6,2.5,3.0,131189
50,,,5,10,2.372,2.505,5.3,5.5,94.7,2.730,2.560,#REF!,#REF!,#REF!,5.6,2.5,3.0,131189
51,27-02-2020,Month 6,6,1,2.335,2.505,6.8,5.5,93.2,2.730,2.560,#REF!,#REF!,#REF!,7.3,2.5,3.0,157811
52,,,6,2,2.335,2.505,6.8,5.5,93.2,2.730,2.560,#REF!,#REF!,#REF!,7.3,2.5,3.0,157811
53,,,6,3,2.31,2.505,7.8,4.8,92.2,2.697,2.560,#REF!,#REF!,#REF!,8.4,2.1,2.7,157811
54,,,6,4,2.332,2.505,6.9,4.8,93.1,2.697,2.560,#REF!,#REF!,#REF!,7.4,2.1,2.7,157811
55,,,6,5,2.352,2.505,6.1,4.7,93.9,2.693,2.560,#REF!,#REF!,#REF!,6.5,2.0,2.7,157811
56,,,6,6,2.345,2.505,6.4,4.7,93.6,2.693,2.560,#REF!,#REF!,#REF!,6.8,2.0,2.7,157811
57,,,6,7,2.312,2.505,7.7,4.7,92.3,2.693,2.560,#REF!,#REF!,#REF!,8.3,2.0,2.7,157811
58,,,6,8,2.338,2.505,6.7,4.7,93.3,2.693,2.560,#REF!,#REF!,#REF!,7.1,2.0,2.7,157811
59,,,6,9,2.326,2.505,7.1,5,92.8,2.706,2.560,#REF!,#REF!,#REF!,7.7,2.2,2.8,157811
60,,,6,10,2.351,2.505,6.1,5,93.9,2.706,2.560,#REF!,#REF!,#REF!,6.5,2.2,2.8,157811
61,9/9/2020,Month 13,13,1,2.323,2.505,7.3,5,92.7,2.706,2.560,#REF!,#REF!,#REF!,7.8,2.2,2.8,347830
62,,,13,2,2.329,2.505,7.0,5,93,2.706,2.560,#REF!,#REF!,#REF!,7.6,2.2,2.8,347830
63,,,13,3,2.342,2.505,6.5,5.3,93.5,2.720,2.560,#REF!,#REF!,#REF!,7.0,2.4,2.9,347830
64,,,13,4,2.335,2.505,6.8,5.3,93.2,2.720,2.560,#REF!,#REF!,#REF!,7.3,2.4,2.9,347830
65,,,13,5,2.364,2.505,5.6,4.9,94.4,2.702,2.560,#REF!,#REF!,#REF!,6.0,2.1,2.8,347830
66,,,13,6,2.385,2.505,4.8,4.9,95.2,2.702,2.560,#REF!,#REF!,#REF!,5.0,2.1,2.8,347830
67,,,13,7,2.379,2.505,5.0,5,95,2.706,2.560,#REF!,#REF!,#REF!,5.3,2.2,2.8,347830
68,,,13,8,2.351,2.505,6.1,5,93.9,2.706,2.560,#REF!,#REF!,#REF!,6.5,2.2,2.8,347830
