S.No,Date,Time,,Sample,Pagg,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Film thickness,Traffic
30,,,10,6,94.6,2.271,2.401,5.4,4.6,94.6,2.563,2.361,9.04,40.08,3.6,5.7,3.5,1.1,8.70,2.8354
31,,,10,7,96.0,2.305,2.401,4.0,4.5,96.0,2.559,2.361,6.29,36.45,2.3,4.2,3.4,1.1,8.70,2.8354
32,,,10,8,95.2,2.286,2.401,4.8,4.5,95.2,2.559,2.361,7.83,38.83,3.0,5.0,3.4,1.1,8.70,2.8354
33,11/12/2020,Month 11,11,1,93.1,2.196,2.359,6.9,5.1,93.1,2.532,2.361,13.43,48.55,6.5,7.4,3.0,2.1,8.70,3.1278
34,,,11,2,96.0,2.265,2.359,4.0,5.1,96.0,2.532,2.361,7.90,49.59,3.9,4.2,3.0,2.1,8.70,3.1278
35,,,11,3,93.2,2.198,2.359,6.8,4.7,93.2,2.517,2.361,13.27,48.58,6.4,7.3,2.7,2.0,8.70,3.1278
36,,,11,4,91.9,2.167,2.359,8.1,4.7,91.9,2.517,2.361,15.70,48.16,7.6,8.9,2.7,2.0,8.70,3.1278
37,,,11,5,94.5,2.229,2.359,5.5,4.9,94.5,2.525,2.361,10.81,49.02,5.3,5.8,2.8,2.1,8.70,3.1278
38,,,11,6,94.9,2.239,2.359,5.1,4.9,94.9,2.525,2.361,10.01,49.17,4.9,5.4,2.8,2.1,8.70,3.1278
39,,,11,7,93.9,2.214,2.359,6.1,4.8,93.9,2.521,2.361,12.01,48.80,5.9,6.5,2.8,2.0,8.70,3.1278
40,,,11,8,95.2,2.246,2.359,4.8,4.8,95.2,2.521,2.361,9.44,49.28,4.7,5.0,2.8,2.0,8.70,3.1278
41,12/10/2020,Month 12,12,1,94.1,2.259,2.401,5.9,4.3,94.1,2.552,2.361,9.99,40.83,4.1,6.3,3.3,1.0,8.70,3.4219
42,,,12,2,93.5,2.244,2.401,6.5,4.3,93.5,2.552,2.361,11.19,41.54,4.6,7.0,3.3,1.0,8.70,3.4219
43,,,12,3,95.4,2.29,2.401,4.6,4.3,95.4,2.552,2.361,7.51,38.42,2.9,4.8,3.3,1.0,8.70,3.4219
44,,,12,4,95.5,2.293,2.401,4.5,4.3,95.5,2.552,2.361,7.26,38.08,2.8,4.7,3.3,1.0,8.70,3.4219
45,,,12,5,94.7,2.273,2.401,5.3,4.3,94.7,2.552,2.361,8.88,39.93,3.5,5.6,3.3,1.0,8.70,3.4219
46,,,12,6,94.4,2.266,2.401,5.6,4.3,94.4,2.552,2.361,9.44,40.41,3.8,6.0,3.3,1.0,8.70,3.4219
47,,,12,7,94.7,2.273,2.401,5.3,4.3,94.7,2.552,2.361,8.88,39.93,3.5,5.6,3.3,1.0,8.70,3.4219
48,,,12,8,93.7,2.249,2.401,6.3,4.3,93.7,2.552,2.361,10.79,41.33,4.5,6.8,3.3,1.0,8.70,3.4219
49,1/7/2021,Month 13,13,1,94.9,2.239,2.359,5.1,5.0,94.9,2.528,2.361,10.01,49.17,4.9,5.4,2.9,2.1,8.70,3.7176
50,,,13,2,93.5,2.206,2.359,6.5,5.0,93.5,2.528,2.361,12.64,48.69,6.2,6.9,2.9,2.1,8.70,3.7176
51,,,13,3,95.4,2.251,2.359,4.6,4.8,95.4,2.521,2.361,9.04,49.35,4.5,4.8,2.8,2.0,8.70,3.7176
52,,,13,4,94.6,2.232,2.359,5.4,4.8,94.6,2.521,2.361,10.57,49.06,5.2,5.7,2.8,2.0,8.70,3.7176
53,,,13,5,94.9,2.239,2.359,5.1,4.9,94.9,2.525,2.361,10.01,49.17,4.9,5.4,2.8,2.1,8.70,3.7176
54,,,13,6,94.9,2.238,2.359,5.1,4.9,94.9,2.525,2.361,10.09,49.15,5.0,5.4,2.8,2.1,8.70,3.7176
55,,,13,7,93.8,2.212,2.359,6.2,4.7,93.8,2.517,2.361,12.16,48.77,5.9,6.6,2.7,2.0,8.70,3.7176
56,,,13,8,94.7,2.234,2.359,5.3,4.7,94.7,2.517,2.361,10.41,49.09,5.1,5.6,2.7,2.0,8.70,3.7176
57,2/11/2021,Month 14,14,1,93.9,2.255,2.401,6.1,4.3,93.9,2.552,2.361,10.31,41.04,4.2,6.5,3.3,1.0,8.70,4.0150
58,,,14,2,94.3,2.265,2.401,5.7,4.3,94.3,2.552,2.361,9.52,40.47,3.9,6.0,3.3,1.0,8.70,4.0150
59,,,14,3,94.7,2.273,2.401,5.3,4.2,94.7,2.548,2.361,8.88,39.93,3.5,5.6,3.2,1.0,8.70,4.0150
60,,,14,4,93.8,2.252,2.401,6.2,4.2,93.8,2.548,2.361,10.55,41.19,4.3,6.6,3.2,1.0,8.70,4.0150
61,,,14,5,94.6,2.272,2.401,5.4,4.2,94.6,2.548,2.361,8.96,40.01,3.6,5.7,3.2,1.0,8.70,4.0150
62,,,14,6,94.5,2.269,2.401,5.5,4.2,94.5,2.548,2.361,9.20,40.22,3.7,5.8,3.2,1.0,8.70,4.0150
63,,,14,7,95.5,2.292,2.401,4.5,4.4,95.5,2.555,2.361,7.35,38.20,2.8,4.8,3.3,1.1,8.70,4.0150
64,,,14,8,95.1,2.284,2.401,4.9,4.4,95.1,2.555,2.361,7.99,39.02,3.1,5.1,3.3,1.1,8.70,4.0150
65,18-03-2021,Month 15,15,1,94.6,2.231,2.359,5.4,4.2,94.6,2.498,2.361,10.65,49.05,5.2,5.7,2.4,1.8,8.70,4.3141
66,,,15,2,93.1,2.196,2.359,6.9,4.2,93.1,2.498,2.361,13.43,48.55,6.5,7.4,2.4,1.8,8.70,4.3141
67,,,15,3,95.3,2.248,2.359,4.7,4.9,95.3,2.525,2.361,9.28,49.31,4.6,4.9,2.8,2.1,8.70,4.3141
68,,,15,4,94.7,2.234,2.359,5.3,4.9,94.7,2.525,2.361,10.41,49.09,5.1,5.6,2.8,2.1,8.70,4.3141
69,,,15,5,95.7,2.258,2.359,4.3,4.4,95.7,2.506,2.361,8.47,49.47,4.2,4.5,2.5,1.9,8.70,4.3141
70,,,15,6,96.0,2.265,2.359,4.0,4.4,96.0,2.506,2.361,7.90,49.59,3.9,4.2,2.5,1.9,8.70,4.3141
71,,,15,7,95.5,2.253,2.359,4.5,4.3,95.5,2.502,2.361,8.88,49.39,4.4,4.7,2.5,1.8,8.70,4.3141
