S.No,Date,Time,Sample,Month,Pagg,Gmb,Gmm,"Air-voids, Va",Binder Content,Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,"Traffic, msa"
172,2021/11/26,Month 27,2,27,95.4,2.343,2.505,6.5,4.6,93.5,2.607,2.560,12.68,48.99,6.2,6.9,0.7,3.9,0.7478
173,2021/11/26,Month 27,3,27,95.5,2.355,2.505,6.0,4.5,94.0,2.607,2.560,12.14,50.67,6.1,6.4,0.7,3.8,0.7478
174,2021/11/26,Month 27,4,27,95.5,2.347,2.505,6.3,4.5,93.7,2.607,2.560,12.44,49.28,6.1,6.7,0.7,3.8,0.7478
175,2021/11/26,Month 27,5,27,95.5,2.388,2.505,4.7,4.5,95.3,2.607,2.560,10.91,57.18,6.2,4.9,0.7,3.8,0.7478
176,2021/11/26,Month 27,6,27,95.3,2.385,2.505,4.8,4.7,95.2,2.607,2.560,11.20,57.25,6.4,5.0,0.7,4.0,0.7478
177,2021/11/26,Month 27,7,27,95.3,2.370,2.505,5.4,4.7,94.6,2.607,2.560,11.76,54.19,6.4,5.7,0.7,4.0,0.7478
178,2021/11/26,Month 27,8,27,95.6,2.368,2.505,5.5,4.4,94.5,2.607,2.560,11.56,52.69,6.1,5.8,0.7,3.7,0.7478
179,2021/11/26,Month 27,9,27,95.6,2.372,2.505,5.3,4.4,94.7,2.607,2.560,11.41,53.47,6.1,5.6,0.7,3.7,0.7478
180,2021/11/26,Month 27,10,27,95.5,2.379,2.505,5.0,4.5,95.0,2.607,2.560,11.24,55.26,6.2,5.3,0.7,3.8,0.7478
181,2022/07/05,Month 35,1,35,95.6,2.413,2.505,3.7,4.4,96.3,2.607,2.560,9.87,62.90,6.2,3.8,0.7,3.7,0.9889
182,2022/07/05,Month 35,2,35,95.3,2.343,2.505,6.5,4.7,93.5,2.607,2.560,12.80,49.45,6.3,6.9,0.7,4.0,0.9889
183,2022/07/05,Month 35,3,35,95.5,2.386,2.505,4.7,4.5,95.3,2.607,2.560,10.97,56.82,6.2,5.0,0.7,3.8,0.9889
184,2022/07/05,Month 35,4,35,95.4,2.344,2.505,6.4,4.6,93.6,2.607,2.560,12.69,49.31,6.3,6.9,0.7,3.9,0.9889
185,2022/07/05,Month 35,5,35,95.5,2.353,2.505,6.1,4.5,93.9,2.607,2.560,12.22,50.26,6.1,6.5,0.7,3.8,0.9889
186,2022/07/05,Month 35,6,35,95.4,2.387,2.505,4.7,4.6,95.3,2.607,2.560,11.03,57.38,6.3,4.9,0.7,3.9,0.9889
187,2022/07/05,Month 35,7,35,95.4,2.373,2.505,5.3,4.6,94.7,2.607,2.560,11.54,54.34,6.3,5.6,0.7,3.8,0.9889
188,2022/07/05,Month 35,8,35,95.6,2.372,2.505,5.3,4.4,94.7,2.607,2.560,11.43,53.48,6.1,5.6,0.7,3.7,0.9889
