S.No,Date,Time,Sample,Month,Pagg,Gmb,Gmm,"Air-voids, Va",Binder Content,Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,"Traffic, msa"
37,2019/12/24,Month 4,7,4,94.9,2.312,2.505,7.7,5.1,92.3,2.607,2.560,14.28,46.06,6.6,8.3,0.7,4.4,0.1047
38,2019/12/24,Month 4,8,4,94.9,2.338,2.505,6.7,5.1,93.3,2.607,2.560,13.32,49.95,6.7,7.1,0.7,4.4,0.1047
39,2019/12/24,Month 4,9,4,94.6,2.326,2.505,7.1,5.4,92.9,2.607,2.560,14.04,49.10,6.9,7.7,0.7,4.7,0.1047
40,2019/12/24,Month 4,10,4,94.6,2.351,2.505,6.1,5.4,93.9,2.607,2.560,13.11,53.12,7.0,6.6,0.7,4.7,0.1047
41,2020/01/28,Month 5,1,5,95.0,2.336,2.505,6.7,5.0,93.3,2.607,2.560,13.30,49.29,6.6,7.2,0.7,4.3,0.1312
42,2020/01/28,Month 5,2,5,95.0,2.327,2.505,7.1,5.0,92.9,2.607,2.560,13.64,47.89,6.5,7.6,0.7,4.3,0.1312
43,2020/01/28,Month 5,3,5,94.7,2.335,2.505,6.8,5.3,93.2,2.607,2.560,13.61,50.15,6.8,7.3,0.7,4.6,0.1312
44,2020/01/28,Month 5,4,5,94.7,2.341,2.505,6.5,5.3,93.5,2.607,2.560,13.39,51.11,6.8,7.0,0.7,4.6,0.1312
45,2020/01/28,Month 5,5,5,95.1,2.331,2.505,6.9,4.9,93.1,2.607,2.560,13.40,48.15,6.5,7.5,0.7,4.2,0.1312
46,2020/01/28,Month 5,6,5,95.1,2.366,2.505,5.5,4.9,94.5,2.607,2.560,12.10,54.13,6.5,5.9,0.7,4.2,0.1312
47,2020/01/28,Month 5,7,5,95.0,2.325,2.505,7.2,5.0,92.8,2.607,2.560,13.71,47.59,6.5,7.7,0.7,4.3,0.1312
48,2020/01/28,Month 5,8,5,95.0,2.325,2.505,7.2,5.0,92.8,2.607,2.560,13.71,47.59,6.5,7.7,0.7,4.3,0.1312
49,2020/01/28,Month 5,9,5,95.0,2.347,2.505,6.3,5.0,93.7,2.607,2.560,12.89,51.09,6.6,6.7,0.7,4.3,0.1312
50,2020/01/28,Month 5,10,5,95.0,2.364,2.505,5.6,5.0,94.4,2.607,2.560,12.26,54.10,6.6,6.0,0.7,4.3,0.1312
51,2020/02/27,Month 6,1,6,95.0,2.337,2.505,6.7,5.0,93.3,2.607,2.560,13.27,49.44,6.6,7.2,0.7,4.3,0.1578
52,2020/02/27,Month 6,2,6,95.0,2.347,2.505,6.3,5.0,93.7,2.607,2.560,12.89,51.09,6.6,6.7,0.7,4.3,0.1578
53,2020/02/27,Month 6,3,6,94.8,2.336,2.505,6.7,5.2,93.3,2.607,2.560,13.49,49.97,6.7,7.2,0.7,4.5,0.1578
54,2020/02/27,Month 6,4,6,94.8,2.346,2.505,6.3,5.2,93.7,2.607,2.560,13.12,51.60,6.8,6.8,0.7,4.5,0.1578
55,2020/02/27,Month 6,5,6,95.1,2.347,2.505,6.3,4.9,93.7,2.607,2.560,12.80,50.74,6.5,6.7,0.7,4.2,0.1578
56,2020/02/27,Month 6,6,6,95.1,2.357,2.505,5.9,4.9,94.1,2.607,2.560,12.43,52.47,6.5,6.3,0.7,4.2,0.1578
57,2020/02/27,Month 6,7,6,94.9,2.336,2.505,6.7,5.1,93.3,2.607,2.560,13.39,49.63,6.6,7.2,0.7,4.4,0.1578
58,2020/02/27,Month 6,8,6,94.9,2.322,2.505,7.3,5.1,92.7,2.607,2.560,13.91,47.49,6.6,7.9,0.7,4.4,0.1578
59,2020/02/27,Month 6,9,6,95.2,2.340,2.505,6.6,4.8,93.4,2.607,2.560,12.97,49.22,6.4,7.1,0.7,4.1,0.1578
60,2020/02/27,Month 6,10,6,95.2,2.342,2.505,6.5,4.8,93.5,2.607,2.560,12.90,49.55,6.4,7.0,0.7,4.1,0.1578
61,2020/09/09,Month 13,1,13,94.5,2.350,2.505,6.2,5.5,93.8,2.607,2.560,13.24,53.27,7.1,6.6,0.7,4.8,0.3478
62,2020/09/09,Month 13,2,13,94.5,2.337,2.505,6.7,5.5,93.3,2.607,2.560,13.72,51.13,7.0,7.2,0.7,4.8,0.3478
63,2020/09/09,Month 13,3,13,95.2,2.368,2.505,5.5,4.8,94.5,2.607,2.560,11.93,54.16,6.5,5.8,0.7,4.1,0.3478
64,2020/09/09,Month 13,4,13,95.2,2.329,2.505,7.0,4.8,93.0,2.607,2.560,13.38,47.49,6.4,7.6,0.7,4.1,0.3478
65,2020/09/09,Month 13,5,13,95.3,2.382,2.505,4.9,4.7,95.1,2.607,2.560,11.32,56.61,6.4,5.2,0.7,4.0,0.3478
66,2020/09/09,Month 13,6,13,95.3,2.330,2.505,7.0,4.7,93.0,2.607,2.560,13.25,47.29,6.3,7.5,0.7,4.0,0.3478
67,2020/09/09,Month 13,7,13,95.3,2.352,2.505,6.1,4.7,93.9,2.607,2.560,12.43,50.88,6.3,6.5,0.7,4.0,0.3478
68,2020/09/09,Month 13,8,13,95.3,2.345,2.505,6.4,4.7,93.6,2.607,2.560,12.69,49.68,6.3,6.8,0.7,4.0,0.3478
69,2020/09/09,Month 13,9,13,95.0,2.356,2.505,5.9,5.0,94.1,2.607,2.560,12.56,52.65,6.6,6.3,0.7,4.3,0.3478
70,2020/09/09,Month 13,10,13,95.0,2.342,2.505,6.5,5.0,93.5,2.607,2.560,13.08,50.25,6.6,7.0,0.7,4.3,0.3478
71,2020/10/20,Month 14,1,14,95.2,2.337,2.505,6.7,4.8,93.3,2.607,2.560,13.08,48.74,6.4,7.2,0.7,4.1,0.3755
72,2020/10/20,Month 14,2,14,95.1,2.326,2.505,7.1,4.9,92.9,2.607,2.560,13.58,47.39,6.4,7.7,0.7,4.2,0.3755
73,2020/10/20,Month 14,3,14,95.0,2.358,2.505,5.9,5.0,94.1,2.607,2.560,12.49,53.00,6.6,6.2,0.7,4.3,0.3755
74,2020/10/20,Month 14,4,14,95.1,2.342,2.505,6.5,4.9,93.5,2.607,2.560,12.99,49.90,6.5,7.0,0.7,4.2,0.3755
75,2020/10/20,Month 14,5,14,95.0,2.375,2.505,5.2,5.0,94.8,2.607,2.560,11.86,56.23,6.7,5.5,0.7,4.3,0.3755
76,2020/10/20,Month 14,6,14,95.2,2.352,2.505,6.1,4.8,93.9,2.607,2.560,12.53,51.24,6.4,6.5,0.7,4.1,0.3755
77,2020/10/20,Month 14,7,14,95.0,2.345,2.505,6.4,5.0,93.6,2.607,2.560,12.97,50.75,6.6,6.8,0.7,4.3,0.3755
78,2020/10/20,Month 14,8,14,95.2,2.371,2.505,5.3,4.8,94.7,2.607,2.560,11.82,54.74,6.5,5.7,0.7,4.1,0.3755
79,2020/10/20,Month 14,9,14,95.0,2.347,2.505,6.3,5.0,93.7,2.607,2.560,12.89,51.09,6.6,6.7,0.7,4.3,0.3755
80,2020/10/20,Month 14,10,14,95.0,2.354,2.505,6.0,5.0,94.0,2.607,2.560,12.63,52.29,6.6,6.4,0.7,4.3,0.3755
81,2020/11/12,Month 15,1,15,95.6,2.345,2.505,6.4,4.4,93.6,2.607,2.560,12.42,48.57,6.0,6.8,0.7,3.7,0.4033
82,2020/11/12,Month 15,2,15,95.6,2.349,2.505,6.2,4.4,93.8,2.607,2.560,12.27,49.25,6.0,6.6,0.7,3.7,0.4033
