sn,traffic,airvoids
1,0.2764,8.15
2,0.5544,7.6625
9,2.5446,6.275
10,2.8354,5.6875
11,3.1278,5.9125
12,3.4219,5.5
13,3.7176,5.4125
14,4.015,5.45
15,4.3141,5.075
19,5.5275,4.2
20,5.951225,3.825
21,6.2612625,4.525
22,6.4557,4.375
23,6.7686,4.325
31,9.3363,3.525
