S.No,Date,Time,,Sample,Pagg,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Film thickness,Traffic,,,,,,,S.No,Date,Time,Sample,Gmb,Gmm,"Air Voids,",Binder Content (%),Density
32,,,16,4,91.7,2.195,2.395,8.3,4.8,91.7,2.564,2.707,25.67,67.51,17.3,9.1,8.70,0.26091,,,,,,,31,,,3,2.227,2.395,7.0,4.79,93.0
33,,,16,5,93.0,2.227,2.395,7.0,4.9,93.0,2.567,2.707,23.47,70.20,16.5,7.5,8.70,0.32706,,,,,,,32,,,4,,2.395,,4.79,
34,,,16,6,93.4,2.236,2.395,6.6,4.9,93.4,2.567,2.707,22.90,70.97,16.3,7.1,8.70,0.39359,,,,,,,33,,,5,2.227,2.395,7.0,4.88,93.0
35,,,16,7,92.5,2.215,2.395,7.5,4.8,92.5,2.563,2.707,24.34,69.08,16.8,8.1,8.70,0.46049,,,,,,,34,,,6,2.236,2.395,6.6,4.88,93.4
36,,,16,8,94.5,2.264,2.395,5.5,4.8,94.5,2.563,2.707,20.92,73.92,15.5,5.8,8.70,0.52777,,,,,,,35,,,7,,2.395,,4.78,
37,,,16,9,95.8,2.295,2.395,4.2,4.8,95.8,2.564,2.707,18.77,77.74,14.6,4.4,8.70,0.59543,,,,,,,36,,,8,2.264,2.395,5.5,4.78,94.5
38,,,16,10,96.6,2.313,2.395,3.4,4.8,96.6,2.564,2.707,17.50,80.37,14.1,3.6,8.70,0.66348,,,,,,,37,,,9,2.295,2.395,4.2,,95.8
39,1/7/2021,Month 17,17,1,93.9,2.305,2.455,6.1,5.3,93.9,2.656,2.707,20.08,69.50,14.0,6.5,8.70,0.06468,,,,,,,,,,std,0.03,,1.23,0.05,1.23
40,,,17,2,94.0,2.307,2.455,6.0,5.7,94.0,2.674,2.707,19.92,69.72,13.9,6.4,8.70,0.12972,,,,,,,39,1/7/2021,Month 17,1,2.305,2.455,6.1,5.3,93.9
41,,,17,3,93.9,2.306,2.455,6.1,4.9,93.9,2.642,2.707,19.98,69.64,13.9,6.5,8.70,0.19513,,,,,,,40,,,2,2.307,2.455,6.0,5.7,94.0
